null_index,exp,X,n,R_bits_per_gap
0,15,32768.0,3076.0,-0.00032509752925877753
0,16,65536.0,5643.0,-0.0001772107035264929
0,17,131072.0,10725.0,-9.324009324009327e-05
0,18,262144.0,20432.0,-4.894283476898981e-05
0,19,524288.0,38714.0,-2.5830448933202463e-05
0,20,1048576.0,73904.0,-1.3531067330591008e-05
0,21,2097152.0,139988.0,-7.1434694402377134e-06
0,22,4194304.0,267859.0,-3.733307449068354e-06
0,23,8388608.0,514418.0,-1.9439444187411916e-06
0,24,16777216.0,986907.0,-1.0132667009150804e-06
0,25,33554432.0,1895312.0,-5.276176165190747e-07
0,26,67108864.0,3644869.0,-2.743582828354032e-07
1,15,32768.0,3073.0,-0.0003254149040026036
1,16,65536.0,5707.0,-0.00017522340984755567
1,17,131072.0,10792.0,-9.266123054114149e-05
1,18,262144.0,20357.0,-4.912315174141566e-05
1,19,524288.0,38485.0,-2.598414966870197e-05
1,20,1048576.0,73641.0,-1.3579391914830021e-05
1,21,2097152.0,140047.0,-7.140459988432428e-06
1,22,4194304.0,268301.0,-3.7271571853999678e-06
1,23,8388608.0,513283.0,-1.9482429770711306e-06
1,24,16777216.0,986354.0,-1.01383478953803e-06
1,25,33554432.0,1896444.0,-5.273026780648412e-07
1,26,67108864.0,3644631.0,-2.7437619885250433e-07
2,15,32768.0,2958.0,-0.00033806626098715353
2,16,65536.0,5829.0,-0.00017155601303825687
2,17,131072.0,10698.0,-9.347541596560104e-05
2,18,262144.0,20387.0,-4.905086574778026e-05
2,19,524288.0,39017.0,-2.5629853653535587e-05
2,20,1048576.0,73326.0,-1.3637727409104568e-05
2,21,2097152.0,140818.0,-7.1013648823304375e-06
2,22,4194304.0,267571.0,-3.7373257939014197e-06
2,23,8388608.0,515208.0,-1.94096364963277e-06
2,24,16777216.0,985934.0,-1.0142666750512765e-06
2,25,33554432.0,1896535.0,-5.272773769005059e-07
2,26,67108864.0,3649876.0,-2.739819106183336e-07
3,15,32768.0,3045.0,-0.0003284072249589489
3,16,65536.0,5642.0,-0.00017724211272598356
