exp,X,n,R_bits_per_gap,B1_exact_bits_per_gap,U1_exact_bits_per_gap,B1_bucket_bits_per_gap,U1_bucket_bits_per_gap,null_mean,null_sd,null_p05,null_p95,z_vs_null
15,32768.0,3030.0,-0.0003300330033003296,2.2268817153066163,2.2272117483099168,1.8678291177078878,1.868159150711188,-0.0003287503729932419,4.310712239454263e-06,-0.00033579583613163263,-0.000321646831778706,-0.2975448686526256
16,65536.0,5709.0,-0.00017516202487300787,2.3407989860311145,2.3409741480559876,1.9555517916005583,1.9557269536254314,-0.00017488532169331535,1.7656927300617976e-06,-0.00017793594306049834,-0.00017220595832615802,-0.15671083364704752
17,131072.0,10749.0,-9.303190994511115e-05,2.451310797890532,2.451403829800477,1.9931885012505661,1.9932815331605107,-9.290635092744125e-05,6.445292512115465e-07,-9.403799134850503e-05,-9.170946441672745e-05,-0.19480732245104584
18,262144.0,20390.0,-4.904364884747404e-05,2.5482424630296867,2.548291506678534,2.0531412248209437,2.053190268469791,-4.9040806897660563e-05,2.8678792388425467e-07,-4.9465769687376126e-05,-4.854604592455939e-05,-0.009909586760082661
19,524288.0,38635.0,-2.588326646822828e-05,2.645104391691567,2.6451302749580354,2.0899119379634015,2.0899378212298703,-2.586225974140724e-05,9.873928180651388e-08,-2.6036242449489663e-05,-2.5710245532844862e-05,-0.2127494390956222
20,1048576.0,73586.0,-1.3589541488870198e-05,2.731673799752871,2.73168738929436,2.119798527730704,2.1198121172721924,-1.3591584704702405e-05,3.888559937619896e-08,-1.365653806759982e-05,-1.35299688810716e-05,0.052544280272994445
21,2097152.0,140336.0,-7.1257553300649776e-06,2.81495327850538,2.8149604042607104,2.15348875070376,2.15349587645909,-7.124148661452677e-06,1.557629457808142e-08,-7.150774071293196e-06,-7.0999531403092285e-06,-0.10314831966273086
22,4194304.0,268216.0,-3.7283383541623186e-06,2.893612067941753,2.8936157962801072,2.1967335545131212,2.1967372828514753,-3.727446282642109e-06,6.144033893137718e-09,-3.7373676971835195e-06,-3.7167398244955316e-06,-0.14519313137348971
23,8388608.0,513708.0,-1.9466311601143114e-06,2.967941836512777,2.9679437831439373,2.1869195638920127,2.1869215105231725,-1.946294652586626e-06,2.330398484921747e-09,-1.9503176092226532e-06,-1.9421284562603516e-06,-0.14439913596859255
24,16777216.0,985818.0,-1.0143860225721128e-06,3.038312811995684,3.0383138263817067,2.2231657046458446,2.223166719031867,-1.014469677713691e-06,8.532058322262044e-10,-1.0157564134859888e-06,-1.0129454427584502e-06,0.09804801891683818
25,33554432.0,1894120.0,-5.279496547209225e-07,3.1060916189495824,3.1060921468992375,2.241631373674031,2.241631901623686,-5.278819915614196e-07,3.2303060110936005e-10,-5.284861988471614e-07,-5.273613527451509e-07,-0.2094636213117804
26,67108864.0,3645744.0,-2.7429243523407067e-07,3.1704284777012335,3.170428751993669,2.232415140936067,2.232415415228502,-2.7425414055848714e-07,1.2035362132615912e-10,-2.7445474076652e-07,-2.7406420776259464e-07,-0.31818465586295164
