baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_min,null_p05,null_p50,null_p95,null_max,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.2110809843046839,639.5753824431922,1.0,3.734550497311372,3.523469513006682,3.734547564054311,3.5234665797496167,-0.0003287809044353458,5.169806990050556e-06,-0.00034164673727365784,-0.00033715441672286253,-0.00032873109796186455,-0.00032092426187420054,-0.0003174603174603163,0.004975124378109453
B0,2.0,2.0,1.0,rank_mod_64,64.0,16.0,65536.0,5709.0,0.22977880552375926,1311.8072007351416,1.0,3.8303731867167756,3.6005943811930257,3.830366191344059,3.6005873858203157,-0.00017488132222750645,2.104219619159143e-06,-0.0001800504141159504,-0.00017850767583006124,-0.0001748251748251756,-0.0001714971702966888,-0.0001705320600272852,0.004975124378109453
B0,2.0,2.0,1.0,rank_mod_64,64.0,17.0,131072.0,10749.0,0.2555065059521235,2746.4394324793752,1.0,3.9248345594662375,3.6693280535141373,3.9248196011250474,3.669313095172921,-9.290427644960574e-05,7.638544160201995e-07,-9.500285008550375e-05,-9.420631182289125e-05,-9.293680297397505e-05,-9.153318077803252e-05,-9.087604507451847e-05,0.004975124378109453
B0,2.0,2.0,1.0,rank_mod_64,64.0,18.0,262144.0,20390.0,0.25934081820986093,5287.959283299065,1.0,4.00850325326717,3.7491624350573196,4.008473969674203,3.749133151464353,-4.903804423685364e-05,3.36980941315467e-07,-4.998000799680135e-05,-4.9554013875124086e-05,-4.9065305922180944e-05,-4.846370068818347e-05,-4.784231174050249e-05,0.004975124378109453
B0,2.0,2.0,1.0,rank_mod_64,64.0,19.0,524288.0,38635.0,0.26464280769807985,10224.474875415315,1.0,4.092900420285504,3.828257612587423,4.092847211268132,3.828204403570044,-2.5864611293303633e-05,1.1308278693433608e-07,-2.6215068421328708e-05,-2.6068821689260305e-05,-2.5870543798829766e-05,-2.5687130747494798e-05,-2.5548657418052e-05,0.004975124378109453
B0,2.0,2.0,1.0,rank_mod_64,64.0,20.0,1048576.0,73586.0,0.26717179552634424,19660.103745601566,1.0,4.169057259959523,3.901885464433196,4.168399168695683,3.9012273731693647,-1.359235173426484e-05,4.437547964033487e-08,-1.3750618777844392e-05,-1.3666056249486886e-05,-1.3592681700173032e-05,-1.3515522577680275e-05,-1.3476362460244359e-05,0.004975124378109453
B0,2.0,2.0,1.0,rank_mod_64,64.0,21.0,2097152.0,140336.0,0.2690170222503884,37752.77283453051,1.0,4.242863702337939,3.9738466800875267,4.242530656507105,3.97351363425668,-7.124285485810778e-06,1.739518768110345e-08,-7.176432595357221e-06,-7.151950336856708e-06,-7.124232363962511e-06,-7.097383194816062e-06,-7.076690090511227e-06,0.004975124378109453
B0,2.0,2.0,1.0,rank_mod_64,64.0,22.0,4194304.0,268216.0,0.2697099233638672,72340.516804963,1.0,4.313061622265557,4.043351698901656,4.312364792367725,4.042654869003936,-3.7274974056755534e-06,7.04448946140913e-09,-3.7421928501662358e-06,-3.7383736579239864e-06,-3.727046055108012e-06,-3.715000055725065e-06,-3.705323067118105e-06,0.004975124378109453
B0,2.0,2.0,1.0,rank_mod_64,64.0,23.0,8388608.0,513708.0,0.2693383780872925,138361.27953046685,1.0,4.379794150032082,4.110455771944802,4.378775863478356,4.1094374853911955,-1.946318441072416e-06,2.585051463560244e-09,-1.9527474179797595e-06,-1.9508046093612817e-06,-1.946093217865063e-06,-1.9417701953808266e-06,-1.9400185077766347e-06,0.004975124378109453
B0,2.0,2.0,1.0,rank_mod_64,64.0,24.0,16777216.0,985818.0,0.2688919354023798,265078.50997450325,1.0,4.443320231405724,4.174428296003084,4.441842890417857,4.172950955015625,-1.0144769362248182e-06,9.503829722686307e-10,-1.0170146551811307e-06,-1.0159937739901765e-06,-1.0145403929111717e-06,-1.0127700171462324e-06,-1.0117535408844602e-06,0.004975124378109453
