null_index,exp,X,n,R_bits_per_gap
0,15.0,32768.0,3081.0,-0.00032456994482311127
0,16.0,65536.0,5642.0,-0.00017724211272598166
0,17.0,131072.0,10726.0,-9.323140033563308e-05
0,18.0,262144.0,20437.0,-4.8930860693840954e-05
0,19.0,524288.0,38719.0,-2.5827113303545513e-05
0,20.0,1048576.0,73950.0,-1.3522650439486031e-05
0,21.0,2097152.0,139931.0,-7.146379286934532e-06
0,22.0,4194304.0,267845.0,-3.7335025854504177e-06
0,23.0,8388608.0,514558.0,-1.9434155138973774e-06
0,24.0,16777216.0,987225.0,-1.0129403124920586e-06
0,25.0,33554432.0,1895601.0,-5.275371768636895e-07
0,26.0,67108864.0,3644783.0,-2.743647564203412e-07
1,15.0,32768.0,3087.0,-0.00032393909944930467
1,16.0,65536.0,5684.0,-0.00017593244194229462
1,17.0,131072.0,10791.0,-9.266981744045948e-05
1,18.0,262144.0,20366.0,-4.910144358244067e-05
1,19.0,524288.0,38478.0,-2.598887676074596e-05
1,20.0,1048576.0,73610.0,-1.3585110718652267e-05
1,21.0,2097152.0,140040.0,-7.140816909454229e-06
1,22.0,4194304.0,268352.0,-3.7264488433101185e-06
1,23.0,8388608.0,513246.0,-1.9483834262711552e-06
1,24.0,16777216.0,986389.0,-1.0137988156801456e-06
1,25.0,33554432.0,1896703.0,-5.272306734370297e-07
1,26.0,67108864.0,3644269.0,-2.7440345375163454e-07
2,15.0,32768.0,2927.0,-0.00034164673727365784
2,16.0,65536.0,5830.0,-0.00017152658662092273
2,17.0,131072.0,10700.0,-9.345794392523235e-05
2,18.0,262144.0,20409.0,-4.899799108236469e-05
2,19.0,524288.0,39044.0,-2.5612129904722194e-05
2,20.0,1048576.0,73307.0,-1.3641262089567824e-05
2,21.0,2097152.0,140856.0,-7.099449082750882e-06
2,22.0,4194304.0,267495.0,-3.738387633413785e-06
2,23.0,8388608.0,515359.0,-1.940394947987696e-06
2,24.0,16777216.0,985797.0,-1.0144076315914738e-06
2,25.0,33554432.0,1896802.0,-5.272031556271589e-07
2,26.0,67108864.0,3650346.0,-2.739466340999046e-07
3,15.0,32768.0,3038.0,-0.00032916392363396504
3,16.0,65536.0,5643.0,-0.0001772107035264923
3,17.0,131072.0,10650.0,-9.389671361502263e-05
3,18.0,262144.0,20493.0,-4.879715024642524e-05
3,19.0,524288.0,38869.0,-2.5727443463942132e-05
3,20.0,1048576.0,73557.0,-1.3594899193822333e-05
3,21.0,2097152.0,140628.0,-7.110959410643646e-06
3,22.0,4194304.0,268240.0,-3.7280047718460565e-06
3,23.0,8388608.0,514529.0,-1.9435250491226413e-06
3,24.0,16777216.0,985933.0,-1.014267703789213e-06
3,25.0,33554432.0,1895561.0,-5.27548308917509e-07
3,26.0,67108864.0,3646812.0,-2.742121063548078e-07
4,15.0,32768.0,2957.0,-0.0003381805884342207
4,16.0,65536.0,5832.0,-0.00017146776406035613
4,17.0,131072.0,10934.0,-9.145783793670825e-05
4,18.0,262144.0,20331.0,-4.9185972160740585e-05
4,19.0,524288.0,38823.0,-2.575792700203475e-05
4,20.0,1048576.0,73911.0,-1.3529785823490023e-05
4,21.0,2097152.0,140558.0,-7.1145007754809514e-06
4,22.0,4194304.0,268196.0,-3.7286163850318144e-06
4,23.0,8388608.0,513153.0,-1.948736536666525e-06
4,24.0,16777216.0,985414.0,-1.0148019005210006e-06
4,25.0,33554432.0,1894744.0,-5.277757839581659e-07
4,26.0,67108864.0,3645862.0,-2.742835576332986e-07
5,15.0,32768.0,3059.0,-0.00032690421706439954
5,16.0,65536.0,5693.0,-0.00017565431231336706
5,17.0,131072.0,10743.0,-9.308386856557759e-05
5,18.0,262144.0,20370.0,-4.909180166911958e-05
5,19.0,524288.0,38584.0,-2.5917478747667404e-05
5,20.0,1048576.0,73779.0,-1.3553992328440247e-05
5,21.0,2097152.0,140190.0,-7.1331764034522485e-06
5,22.0,4194304.0,267543.0,-3.7377169277462406e-06
5,23.0,8388608.0,513578.0,-1.9471239032824253e-06
5,24.0,16777216.0,985011.0,-1.015217088946263e-06
5,25.0,33554432.0,1893587.0,-5.280982600745898e-07
5,26.0,67108864.0,3647470.0,-2.741626387605912e-07
6,15.0,32768.0,3129.0,-0.0003195909236177694
6,16.0,65536.0,5757.0,-0.00017370158068438082
6,17.0,131072.0,10862.0,-9.206407659731206e-05
6,18.0,262144.0,20439.0,-4.892607270414473e-05
6,19.0,524288.0,38726.0,-2.582244486907932e-05
6,20.0,1048576.0,73661.0,-1.3575704918478103e-05
6,21.0,2097152.0,140274.0,-7.128904857635501e-06
6,22.0,4194304.0,268226.0,-3.7281993542757958e-06
6,23.0,8388608.0,514030.0,-1.945411746396078e-06
6,24.0,16777216.0,986962.0,-1.0132102350445125e-06
6,25.0,33554432.0,1893973.0,-5.279906313342681e-07
6,26.0,67108864.0,3647519.0,-2.741589557175773e-07
7,15.0,32768.0,3005.0,-0.0003327787021630598
7,16.0,65536.0,5748.0,-0.0001739735560194869
7,17.0,131072.0,10775.0,-9.280742459396739e-05
7,18.0,262144.0,20252.0,-4.937783922575506e-05
7,19.0,524288.0,38741.0,-2.5812446761829045e-05
7,20.0,1048576.0,73780.0,-1.3553808620222282e-05
7,21.0,2097152.0,140251.0,-7.1300739388669965e-06
7,22.0,4194304.0,268439.0,-3.725241116231321e-06
7,23.0,8388608.0,514063.0,-1.9452868617270748e-06
7,24.0,16777216.0,986453.0,-1.0137330415133723e-06
7,25.0,33554432.0,1895840.0,-5.274706726305848e-07
7,26.0,67108864.0,3647890.0,-2.741310730312721e-07
8,15.0,32768.0,3135.0,-0.00031897926634769195
8,16.0,65536.0,5732.0,-0.00017445917655268644
8,17.0,131072.0,10817.0,-9.244707405010557e-05
8,18.0,262144.0,20519.0,-4.873531848530591e-05
8,19.0,524288.0,38779.0,-2.578715284045494e-05
8,20.0,1048576.0,73616.0,-1.3584003477504896e-05
8,21.0,2097152.0,139558.0,-7.165479585548556e-06
8,22.0,4194304.0,268048.0,-3.730675102966396e-06
8,23.0,8388608.0,514173.0,-1.9448706952718136e-06
8,24.0,16777216.0,985576.0,-1.0146350966338634e-06
8,25.0,33554432.0,1894018.0,-5.279780867974689e-07
8,26.0,67108864.0,3644889.0,-2.743567773943204e-07
9,15.0,32768.0,2997.0,-0.0003336670003336677
9,16.0,65536.0,5732.0,-0.00017445917655268558
9,17.0,131072.0,10736.0,-9.314456035767441e-05
9,18.0,262144.0,20308.0,-4.924167815639168e-05
9,19.0,524288.0,38564.0,-2.5930920029042053e-05
9,20.0,1048576.0,73652.0,-1.3577363819041209e-05
9,21.0,2097152.0,140933.0,-7.095570235501878e-06
9,22.0,4194304.0,268108.0,-3.729840213644989e-06
9,23.0,8388608.0,513540.0,-1.9472679830198447e-06
9,24.0,16777216.0,984804.0,-1.01543048159838e-06
9,25.0,33554432.0,1895880.0,-5.274595438529671e-07
9,26.0,67108864.0,3646702.0,-2.7422037775503444e-07
10,15.0,32768.0,2983.0,-0.00033523298692591483
10,16.0,65536.0,5660.0,-0.0001766784452296823
10,17.0,131072.0,10545.0,-9.483167377904317e-05
10,18.0,262144.0,20370.0,-4.909180166912126e-05
10,19.0,524288.0,38836.0,-2.5749304768771506e-05
10,20.0,1048576.0,73770.0,-1.3555645926528091e-05
10,21.0,2097152.0,140245.0,-7.13037897964287e-06
10,22.0,4194304.0,268168.0,-3.729005697920842e-06
10,23.0,8388608.0,513921.0,-1.9458243582184398e-06
10,24.0,16777216.0,984295.0,-1.0159555824219695e-06
10,25.0,33554432.0,1894228.0,-5.279195535067655e-07
10,26.0,67108864.0,3645591.0,-2.7430394687721494e-07
11,15.0,32768.0,3030.0,-0.0003300330033003346
11,16.0,65536.0,5691.0,-0.00017571604287471438
11,17.0,131072.0,10729.0,-9.320533134495492e-05
11,18.0,262144.0,20319.0,-4.9215020424233846e-05
11,19.0,524288.0,38662.0,-2.5865190626454906e-05
11,20.0,1048576.0,73570.0,-1.3592496941687759e-05
11,21.0,2097152.0,140197.0,-7.132820245797052e-06
11,22.0,4194304.0,267828.0,-3.7337395641979845e-06
11,23.0,8388608.0,512426.0,-1.9515012899422723e-06
11,24.0,16777216.0,986479.0,-1.0137063231958866e-06
11,25.0,33554432.0,1894847.0,-5.27747095147985e-07
11,26.0,67108864.0,3646600.0,-2.742280480447342e-07
12,15.0,32768.0,2992.0,-0.00033422459893047655
12,16.0,65536.0,5822.0,-0.00017176228100309455
12,17.0,131072.0,10802.0,-9.257544899092621e-05
12,18.0,262144.0,20418.0,-4.897639337839218e-05
12,19.0,524288.0,38524.0,-2.5957844460595555e-05
