null_index,exp,X,n,R_bits_per_gap
0,15,32768.0,3030.0,-0.00033003300330032906
0,16,65536.0,5709.0,-0.00017516202487300855
0,17,131072.0,10749.0,-9.303190994511149e-05
0,18,262144.0,20390.0,-4.904364884747428e-05
0,19,524288.0,38635.0,-2.5883266468228243e-05
0,20,1048576.0,73586.0,-1.3589541488870063e-05
0,21,2097152.0,140336.0,-7.125755330064878e-06
0,22,4194304.0,268216.0,-3.7283383541623724e-06
0,23,8388608.0,513708.0,-1.9466311601143135e-06
0,24,16777216.0,985818.0,-1.0143860225721558e-06
0,25,33554432.0,1894120.0,-5.279496547209305e-07
0,26,67108864.0,3645744.0,-2.7429243523406336e-07
1,15,32768.0,3030.0,-0.0003300330033003309
1,16,65536.0,5709.0,-0.00017516202487300651
1,17,131072.0,10749.0,-9.303190994511121e-05
1,18,262144.0,20390.0,-4.9043648847474404e-05
1,19,524288.0,38635.0,-2.5883266468228307e-05
1,20,1048576.0,73586.0,-1.3589541488870063e-05
1,21,2097152.0,140336.0,-7.125755330064838e-06
1,22,4194304.0,268216.0,-3.7283383541622317e-06
1,23,8388608.0,513708.0,-1.9466311601143576e-06
1,24,16777216.0,985818.0,-1.0143860225721319e-06
1,25,33554432.0,1894120.0,-5.279496547209421e-07
1,26,67108864.0,3645744.0,-2.7429243523407024e-07
2,15,32768.0,3030.0,-0.0003300330033003307
2,16,65536.0,5709.0,-0.0001751620248730063
2,17,131072.0,10749.0,-9.303190994511113e-05
2,18,262144.0,20390.0,-4.9043648847474174e-05
2,19,524288.0,38635.0,-2.58832664682284e-05
2,20,1048576.0,73586.0,-1.3589541488870017e-05
2,21,2097152.0,140336.0,-7.125755330064908e-06
2,22,4194304.0,268216.0,-3.728338354162297e-06
2,23,8388608.0,513708.0,-1.946631160114265e-06
2,24,16777216.0,985818.0,-1.0143860225721097e-06
2,25,33554432.0,1894120.0,-5.279496547209216e-07
2,26,67108864.0,3645744.0,-2.7429243523406294e-07
3,15,32768.0,3030.0,-0.0003300330033003321
3,16,65536.0,5709.0,-0.00017516202487300746
3,17,131072.0,10749.0,-9.303190994511158e-05
3,18,262144.0,20390.0,-4.904364884747426e-05
3,19,524288.0,38635.0,-2.5883266468228623e-05
3,20,1048576.0,73586.0,-1.3589541488869839e-05
3,21,2097152.0,140336.0,-7.125755330064889e-06
3,22,4194304.0,268216.0,-3.728338354162356e-06
3,23,8388608.0,513708.0,-1.9466311601142314e-06
3,24,16777216.0,985818.0,-1.0143860225721086e-06
3,25,33554432.0,1894120.0,-5.279496547209145e-07
3,26,67108864.0,3645744.0,-2.7429243523406654e-07
4,15,32768.0,3030.0,-0.00033003300330033096
4,16,65536.0,5709.0,-0.00017516202487300811
4,17,131072.0,10749.0,-9.30319099451114e-05
4,18,262144.0,20390.0,-4.904364884747444e-05
4,19,524288.0,38635.0,-2.588326646822862e-05
4,20,1048576.0,73586.0,-1.3589541488870039e-05
4,21,2097152.0,140336.0,-7.125755330064947e-06
4,22,4194304.0,268216.0,-3.7283383541621996e-06
4,23,8388608.0,513708.0,-1.9466311601142682e-06
4,24,16777216.0,985818.0,-1.0143860225720984e-06
4,25,33554432.0,1894120.0,-5.279496547209404e-07
4,26,67108864.0,3645744.0,-2.7429243523407014e-07
5,15,32768.0,3030.0,-0.00033003300330033334
5,16,65536.0,5709.0,-0.00017516202487300722
5,17,131072.0,10749.0,-9.303190994511189e-05
5,18,262144.0,20390.0,-4.9043648847474045e-05
5,19,524288.0,38635.0,-2.5883266468228094e-05
5,20,1048576.0,73586.0,-1.3589541488870066e-05
5,21,2097152.0,140336.0,-7.125755330064922e-06
5,22,4194304.0,268216.0,-3.7283383541621835e-06
5,23,8388608.0,513708.0,-1.9466311601143402e-06
5,24,16777216.0,985818.0,-1.0143860225720946e-06
5,25,33554432.0,1894120.0,-5.279496547209124e-07
5,26,67108864.0,3645744.0,-2.7429243523406336e-07
6,15,32768.0,3030.0,-0.0003300330033003305
6,16,65536.0,5709.0,-0.00017516202487300635
6,17,131072.0,10749.0,-9.30319099451115e-05
6,18,262144.0,20390.0,-4.9043648847474425e-05
6,19,524288.0,38635.0,-2.5883266468228382e-05
6,20,1048576.0,73586.0,-1.3589541488870193e-05
6,21,2097152.0,140336.0,-7.125755330065031e-06
6,22,4194304.0,268216.0,-3.728338354162335e-06
6,23,8388608.0,513708.0,-1.946631160114286e-06
6,24,16777216.0,985818.0,-1.0143860225721518e-06
6,25,33554432.0,1894120.0,-5.279496547209293e-07
6,26,67108864.0,3645744.0,-2.742924352340877e-07
7,15,32768.0,3030.0,-0.00033003300330033193
7,16,65536.0,5709.0,-0.0001751620248730072
7,17,131072.0,10749.0,-9.303190994511101e-05
7,18,262144.0,20390.0,-4.904364884747448e-05
7,19,524288.0,38635.0,-2.588326646822826e-05
7,20,1048576.0,73586.0,-1.3589541488870105e-05
7,21,2097152.0,140336.0,-7.125755330064841e-06
7,22,4194304.0,268216.0,-3.728338354162257e-06
7,23,8388608.0,513708.0,-1.9466311601143004e-06
7,24,16777216.0,985818.0,-1.0143860225721334e-06
7,25,33554432.0,1894120.0,-5.279496547209032e-07
7,26,67108864.0,3645744.0,-2.7429243523407374e-07
8,15,32768.0,3030.0,-0.00033003300330032874
8,16,65536.0,5709.0,-0.0001751620248730076
8,17,131072.0,10749.0,-9.303190994511039e-05
8,18,262144.0,20390.0,-4.904364884747421e-05
8,19,524288.0,38635.0,-2.5883266468228216e-05
8,20,1048576.0,73586.0,-1.3589541488870114e-05
8,21,2097152.0,140336.0,-7.125755330064943e-06
8,22,4194304.0,268216.0,-3.7283383541622762e-06
8,23,8388608.0,513708.0,-1.9466311601143e-06
8,24,16777216.0,985818.0,-1.0143860225721342e-06
8,25,33554432.0,1894120.0,-5.279496547209361e-07
8,26,67108864.0,3645744.0,-2.7429243523406903e-07
9,15,32768.0,3030.0,-0.0003300330033003293
9,16,65536.0,5709.0,-0.00017516202487300687
9,17,131072.0,10749.0,-9.303190994511098e-05
9,18,262144.0,20390.0,-4.904364884747472e-05
9,19,524288.0,38635.0,-2.588326646822811e-05
9,20,1048576.0,73586.0,-1.3589541488869954e-05
