exp,X,n,pair_alpha,exclusion_alpha,bits_per_gap,delta_vs_B1_bits_per_gap
12.0,4096.0,464.0,0.0,0.0,1.8248967919865362,0.0
12.0,4096.0,464.0,0.0,0.015625,1.8249290387863204,-3.2246799784288746e-05
12.0,4096.0,464.0,0.0,0.03125,1.8249948593936571,-9.806740712096583e-05
12.0,4096.0,464.0,0.0,0.0625,1.8252324340530264,-0.0003356420664903324
12.0,4096.0,464.0,0.0,0.125,1.826172130824892,-0.0012753388383558708
12.0,4096.0,464.0,0.015625,0.0,1.824405045357546,0.0004917466289901701
12.0,4096.0,464.0,0.015625,0.015625,1.8244354825863203,0.0004613094002157607
12.0,4096.0,464.0,0.015625,0.03125,1.8244994892868842,0.0003973026996518535
12.0,4096.0,464.0,0.015625,0.0625,1.824733423241128,0.00016336874540799867
12.0,4096.0,464.0,0.015625,0.125,1.8256657879214067,-0.0007689959348705452
12.0,4096.0,464.0,0.03125,0.0,1.8239403445527986,0.0009564474337374197
12.0,4096.0,464.0,0.03125,0.015625,1.8239689203531169,0.000927871633419288
12.0,4096.0,464.0,0.03125,0.03125,1.824031060695298,0.0008657312912379799
12.0,4096.0,464.0,0.03125,0.0625,1.8242612472250046,0.0006355447615316111
12.0,4096.0,464.0,0.03125,0.125,1.8251860588658588,-0.00028926687932280873
12.0,4096.0,464.0,0.0625,0.0,1.8230922831939063,0.0018045087926298292
12.0,4096.0,464.0,0.0625,0.015625,1.823116980559952,0.0017798114265840448
12.0,4096.0,464.0,0.0625,0.03125,1.8231752308268496,0.0017215611596866104
12.0,4096.0,464.0,0.0625,0.0625,1.8233976023460932,0.0014991896404430054
12.0,4096.0,464.0,0.0625,0.125,1.8243066450769614,0.0005901469095747337
12.0,4096.0,464.0,0.125,0.0,1.8217229115636595,0.003173880422876558
12.0,4096.0,464.0,0.125,0.015625,1.8217392299107948,0.0031575620757412683
12.0,4096.0,464.0,0.125,0.03125,1.8217890707622473,0.0031077212242889055
12.0,4096.0,464.0,0.125,0.0625,1.8219945319853554,0.0029022600011807524
12.0,4096.0,464.0,0.125,0.125,1.8228693864518608,0.0020274055346753282
13.0,8192.0,872.0,0.0,0.0,1.9535628248225994,0.0
13.0,8192.0,872.0,0.0,0.015625,1.9538114333921497,-0.0002486085695503593
13.0,8192.0,872.0,0.0,0.03125,1.9541033752632961,-0.0005405504406967589
13.0,8192.0,872.0,0.0,0.0625,1.9548248635597045,-0.0012620387371051064
13.0,8192.0,872.0,0.0,0.125,1.9568790660022866,-0.003316241179687211
13.0,8192.0,872.0,0.015625,0.0,1.9537610272256916,-0.00019820240309211323
13.0,8192.0,872.0,0.015625,0.015625,1.9540077742806916,-0.00044494945809215474
13.0,8192.0,872.0,0.015625,0.03125,1.9542978486494416,-0.0007350238268421277
13.0,8192.0,872.0,0.015625,0.0625,1.95501558402034,-0.001452759197740642
13.0,8192.0,872.0,0.015625,0.125,1.957062209297745,-0.003499384475145566
13.0,8192.0,872.0,0.03125,0.0,1.9539879680457926,-0.00042514322319310506
13.0,8192.0,872.0,0.03125,0.015625,1.9542328066041807,-0.0006699817815814152
13.0,8192.0,872.0,0.03125,0.03125,1.9545209659071268,-0.0009581410845272985
13.0,8192.0,872.0,0.03125,0.0625,1.955234851446029,-0.001672026623429426
13.0,8192.0,872.0,0.03125,0.125,1.9572736983676653,-0.0037108735450659034
