exp,X,n,pair_alpha,exclusion_alpha,bits_per_gap,delta_vs_B1_bits_per_gap
12.0,4096.0,464.0,0.0,0.0,1.8248967919865362,0.0
12.0,4096.0,464.0,0.0,0.015625,1.825020670895709,-0.00012387890917300764
12.0,4096.0,464.0,0.0,0.03125,1.825160195863407,-0.00026340387687086823
12.0,4096.0,464.0,0.0,0.0625,1.8254875475260024,-0.0005907555394662918
12.0,4096.0,464.0,0.0,0.125,1.826345570791808,-0.0014487788052717527
12.0,4096.0,464.0,0.015625,0.0,1.824405045357546,0.0004917466289901701
12.0,4096.0,464.0,0.015625,0.015625,1.8245272868213986,0.0003695051651374017
12.0,4096.0,464.0,0.015625,0.03125,1.8246651714398325,0.0002316205467035937
12.0,4096.0,464.0,0.015625,0.0625,1.8249892337583054,-9.244177176932335e-05
12.0,4096.0,464.0,0.015625,0.125,1.8258406442483035,-0.0009438522617672667
12.0,4096.0,464.0,0.03125,0.0,1.8239403445527986,0.0009564474337374197
12.0,4096.0,464.0,0.03125,0.015625,1.8240609141985162,0.0008358777880199215
12.0,4096.0,464.0,0.03125,0.03125,1.824197123760619,0.0006996682259172409
12.0,4096.0,464.0,0.03125,0.0625,1.824517826303056,0.00037896568348018937
12.0,4096.0,464.0,0.03125,0.125,1.8253624789742364,-0.0004656869877002354
12.0,4096.0,464.0,0.0625,0.0,1.8230922831939063,0.0018045087926298292
12.0,4096.0,464.0,0.0625,0.015625,1.82320940629411,0.0016873856924260523
12.0,4096.0,464.0,0.0625,0.03125,1.823342161833211,0.0015546301533249632
12.0,4096.0,464.0,0.0625,0.0625,1.823655933954656,0.0012408580318801286
12.0,4096.0,464.0,0.0625,0.125,1.8244866367341341,0.00041015525240192905
12.0,4096.0,464.0,0.125,0.0,1.8217229115636595,0.003173880422876558
12.0,4096.0,464.0,0.125,0.015625,1.8218327315846572,0.0030640604018788643
12.0,4096.0,464.0,0.125,0.03125,1.8219581650980001,0.002938626888536078
12.0,4096.0,464.0,0.125,0.0625,1.8222572362643092,0.0026395557222268305
12.0,4096.0,464.0,0.125,0.125,1.8230583091329606,0.0018384828535754972
13.0,8192.0,872.0,0.0,0.0,1.9535628248225994,0.0
13.0,8192.0,872.0,0.0,0.015625,1.9537930023342653,-0.00023017751166593654
13.0,8192.0,872.0,0.0,0.03125,1.9540407542684013,-0.00047792944580188394
13.0,8192.0,872.0,0.0,0.0625,1.9545905621719062,-0.0010277373493066855
13.0,8192.0,872.0,0.0,0.125,1.95591913631176,-0.0023563114891606038
13.0,8192.0,872.0,0.015625,0.0,1.9537610272256916,-0.00019820240309211323
13.0,8192.0,872.0,0.015625,0.015625,1.9539894257941655,-0.0004266009715660373
13.0,8192.0,872.0,0.015625,0.03125,1.9542353942950386,-0.0006725694724391902
13.0,8192.0,872.0,0.015625,0.0625,1.9547816218725118,-0.0012187970499124364
13.0,8192.0,872.0,0.015625,0.125,1.9561029816221138,-0.002540156799514413
13.0,8192.0,872.0,0.03125,0.0,1.9539879680457926,-0.00042514322319310506
13.0,8192.0,872.0,0.03125,0.015625,1.9542145581181214,-0.0006517332955221001
13.0,8192.0,872.0,0.03125,0.03125,1.9544587133216458,-0.0008958884990463064
13.0,8192.0,872.0,0.03125,0.0625,1.9550012998965725,-0.0014384750739729472
13.0,8192.0,872.0,0.03125,0.125,1.9563153200018846,-0.0027524951792852357
13.0,8192.0,872.0,0.0625,0.0,1.954528259000124,-0.0009654341775246494
13.0,8192.0,872.0,0.0625,0.015625,1.9547511436325826,-0.0011883188099831587
13.0,8192.0,872.0,0.0625,0.03125,1.9549915828621989,-0.0014287580395993674
13.0,8192.0,872.0,0.0625,0.0625,1.955526705834019,-0.0019638810114196775
13.0,8192.0,872.0,0.0625,0.125,1.9568256717743138,-0.0032628469517143096
13.0,8192.0,872.0,0.125,0.0,1.9559558001123325,-0.002392975289733062
13.0,8192.0,872.0,0.125,0.015625,1.9561709217147365,-0.0026080968921371236
13.0,8192.0,872.0,0.125,0.03125,1.9564035731333218,-0.002840748310722299
13.0,8192.0,872.0,0.125,0.0625,1.9569230458558335,-0.003360221033234084
13.0,8192.0,872.0,0.125,0.125,1.9581904108313302,-0.004627586008730784
14.0,16384.0,1612.0,0.0,0.0,2.1034336493683,0.0
14.0,16384.0,1612.0,0.0,0.015625,2.103584392443269,-0.00015074307496898805
14.0,16384.0,1612.0,0.0,0.03125,2.1037533088207923,-0.000319659452492359
14.0,16384.0,1612.0,0.0,0.0625,2.1041469026118853,-0.0007132532435852843
14.0,16384.0,1612.0,0.0,0.125,2.105166704628868,-0.0017330552605677263
14.0,16384.0,1612.0,0.015625,0.0,2.103132122899107,0.0003015264691930384
14.0,16384.0,1612.0,0.015625,0.015625,2.1032810114941065,0.00015263787419361356
14.0,16384.0,1612.0,0.015625,0.03125,2.1034480679731424,-1.4418604842395408e-05
14.0,16384.0,1612.0,0.015625,0.0625,2.103837925691505,-0.00040427632320535974
14.0,16384.0,1612.0,0.015625,0.125,2.1048501903411343,-0.001416540972834225
14.0,16384.0,1612.0,0.03125,0.0,2.102860741050018,0.0005729083182818579
14.0,16384.0,1612.0,0.03125,0.015625,2.103007748997104,0.00042590037119575404
14.0,16384.0,1612.0,0.03125,0.03125,2.1031729191172546,0.00026073025104531814
14.0,16384.0,1612.0,0.03125,0.0625,2.103558986949924,-0.00012533758162407147
14.0,16384.0,1612.0,0.03125,0.125,2.104563602930795,-0.0011299535624950056
14.0,16384.0,1612.0,0.0625,0.0,2.1024086089381915,0.0010250404301085957
14.0,16384.0,1612.0,0.0625,0.015625,2.1025517772639297,0.000881872104370078
14.0,16384.0,1612.0,0.0625,0.03125,2.102713095464956,0.0007205539033441283
14.0,16384.0,1612.0,0.0625,0.0625,2.103091422451728,0.0003422269165723093
14.0,16384.0,1612.0,0.0625,0.125,2.104080407939201,-0.0006467585709010372
14.0,16384.0,1612.0,0.125,0.0,2.1018682115239984,0.0015654378443014478
14.0,16384.0,1612.0,0.125,0.015625,2.1020033886953176,0.0014302606729826033
14.0,16384.0,1612.0,0.125,0.03125,2.102156687654957,0.0012769617133429033
14.0,16384.0,1612.0,0.125,0.0625,2.1025188914929753,0.0009147578753247496
14.0,16384.0,1612.0,0.125,0.125,2.103475289204136,-4.163983583614126e-05
15.0,32768.0,3030.0,0.0,0.0,2.22688171530662,0.0
15.0,32768.0,3030.0,0.0,0.015625,2.22704727217592,-0.00016555686929993076
15.0,32768.0,3030.0,0.0,0.03125,2.2272307692680955,-0.00034905396147589857
15.0,32768.0,3030.0,0.0,0.0625,2.227652844370974,-0.0007711290643543156
15.0,32768.0,3030.0,0.0,0.125,2.2287270280895015,-0.0018453127828816343
