baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,null_mean,null_sd,null_p05,null_p50,null_p95,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.2110809843046839,639.5753824431922,1.0,3.734550497311372,3.523469513006682,-0.00033003300330033036,4.849457068181797e-18,-0.00033003300330033605,-0.00033003300330032635,-0.00033003300330032635,0.2
B0,2.0,2.0,1.0,rank_mod_64,64.0,16.0,65536.0,5709.0,0.22977880552375926,1311.8072007351416,1.0,3.8303731867167756,3.6005943811930257,-0.00017516202487300847,1.2391486980026299e-18,-0.00017516202487301042,-0.0001751620248730076,-0.0001751620248730076,0.2
B0,2.0,2.0,1.0,rank_mod_64,64.0,17.0,131072.0,10749.0,0.2555065059521235,2746.4394324793752,1.0,3.9248345594662375,3.6693280535141373,-9.30319099451107e-05,9.339943136897347e-19,-9.303190994511176e-05,-9.303190994511006e-05,-9.303190994511006e-05,0.2
B0,2.0,2.0,1.0,rank_mod_64,64.0,18.0,262144.0,20390.0,0.25934081820986093,5287.959283299065,1.0,4.00850325326717,3.7491624350573196,-4.904364884747457e-05,9.94669170621106e-19,-4.904364884747597e-05,-4.904364884747412e-05,-4.904364884747412e-05,0.2
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.00033003300330032104,-0.9999999999999727,3.366272352102505e-45,2.2268817153066163,2.2272117483099176,-0.00033003300330033074,2.5666926486024104e-18,-0.0003300330033003336,-0.00033003300330033063,-0.00033003300330033063,0.2
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,-0.0001751620248730083,-1.0000000000000044,3.541403594199143e-63,2.3407989860311145,2.340974148055987,-0.00017516202487300811,1.3084331543404394e-18,-0.00017516202487300947,-0.00017516202487300773,-0.00017516202487300773,0.6
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,17.0,131072.0,10749.0,-9.303190994511311e-05,-1.0000000000000209,8.617818551826613e-77,2.451310797890532,2.4514038298004777,-9.30319099451104e-05,7.418383993342232e-19,-9.30319099451113e-05,-9.303190994511051e-05,-9.303190994511051e-05,1.0
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,18.0,262144.0,20390.0,-4.9043648847474764e-05,-1.0000000000000104,4.718578216693928e-100,2.5482424630296867,2.5482915066785345,-4.9043648847474106e-05,3.8645501112928166e-19,-4.904364884747447e-05,-4.904364884747406e-05,-4.904364884747406e-05,1.0
"B2consec(11,11,r=2,alpha=1)",11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.024865041911013464,75.3410769903708,1.0,2.3008344180643983,2.275969376153381,-0.00033003300330032955,2.7964220298168992e-18,-0.00033003300330033416,-0.0003300330033003283,-0.0003300330033003283,0.2
"B2consec(11,11,r=2,alpha=1)",11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,0.0391034769983566,223.24175018361782,1.0,2.4164162392967823,2.377312762298423,-0.000175162024873007,1.1268989488293538e-18,-0.0001751620248730083,-0.00017516202487300646,-0.00017516202487300646,0.2
"B2consec(11,11,r=2,alpha=1)",11.0,2310.0,480.0,rank_mod_64,64.0,17.0,131072.0,10749.0,0.05210215448822228,560.0460585939013,1.0,2.527013393406719,2.474911238918503,-9.303190994511169e-05,4.400921055838237e-19,-9.303190994511219e-05,-9.303190994511162e-05,-9.303190994511162e-05,0.2
"B2consec(11,11,r=2,alpha=1)",11.0,2310.0,480.0,rank_mod_64,64.0,18.0,262144.0,20390.0,0.057664668852356375,1175.7825978995465,1.0,2.6221383460881063,2.5644736772357715,-4.9043648847474404e-05,4.016615588720821e-19,-4.9043648847475014e-05,-4.904364884747419e-05,-4.904364884747419e-05,0.2
