exp,X,n,alpha,bits_per_gap,delta_vs_B1_bits_per_gap
12.0,4096.0,464.0,0.0,1.8248967919865362,0.0
12.0,4096.0,464.0,0.03125,1.8239403445527986,0.0009564474337374197
12.0,4096.0,464.0,0.0625,1.8230922831939063,0.0018045087926298292
12.0,4096.0,464.0,0.125,1.8217229115636595,0.003173880422876558
12.0,4096.0,464.0,0.25,1.8203018359515752,0.004594956034960886
12.0,4096.0,464.0,0.5,1.8228078291467158,0.0020889628398203615
12.0,4096.0,464.0,0.75,1.8325683455850452,-0.007671553598509094
12.0,4096.0,464.0,1.0,1.8496916473083866,-0.024794855321850415
13.0,8192.0,872.0,0.0,1.9535628248225994,0.0
13.0,8192.0,872.0,0.03125,1.9539879680457926,-0.00042514322319310506
13.0,8192.0,872.0,0.0625,1.954528259000124,-0.0009654341775246494
13.0,8192.0,872.0,0.125,1.9559558001123325,-0.002392975289733062
13.0,8192.0,872.0,0.25,1.960208730420391,-0.006645905597791686
13.0,8192.0,872.0,0.5,1.9743765440774852,-0.020813719254885694
13.0,8192.0,872.0,0.75,1.996199507181632,-0.04263668235903257
13.0,8192.0,872.0,1.0,2.0257578970428076,-0.07219507222020806
14.0,16384.0,1612.0,0.0,2.1034336493683,0.0
14.0,16384.0,1612.0,0.03125,2.102860741050018,0.0005729083182818579
14.0,16384.0,1612.0,0.0625,2.1024086089381915,0.0010250404301085957
14.0,16384.0,1612.0,0.125,2.1018682115239984,0.0015654378443014478
14.0,16384.0,1612.0,0.25,2.102252935945021,0.0011807134232787494
14.0,16384.0,1612.0,0.5,2.108953626280605,-0.0055199769123049055
14.0,16384.0,1612.0,0.75,2.123661108760497,-0.020227459392197004
14.0,16384.0,1612.0,1.0,2.146439836173211,-0.04300618680491102
15.0,32768.0,3030.0,0.0,2.22688171530662,0.0
15.0,32768.0,3030.0,0.03125,2.227095830447128,-0.00021411514050846307
15.0,32768.0,3030.0,0.0625,2.2274349014419736,-0.0005531861353540122
15.0,32768.0,3030.0,0.125,2.2284894158688413,-0.0016077005622215023
15.0,32768.0,3030.0,0.25,2.2321136885927,-0.0052319732860803434
15.0,32768.0,3030.0,0.5,2.2454890304308814,-0.01860731512426187
15.0,32768.0,3030.0,0.75,2.267122928100233,-0.04024121279361358
15.0,32768.0,3030.0,1.0,2.297065322216328,-0.07018360690970847
16.0,65536.0,5709.0,0.0,2.340798986031117,0.0
16.0,65536.0,5709.0,0.03125,2.341049742428798,-0.0002507563976808479
16.0,65536.0,5709.0,0.0625,2.3414287297169416,-0.0006297436858244521
16.0,65536.0,5709.0,0.125,2.3425728445364604,-0.0017738585053430644
16.0,65536.0,5709.0,0.25,2.346414926556346,-0.005615940525229061
16.0,65536.0,5709.0,0.5,2.3603757070758404,-0.01957672104472301
16.0,65536.0,5709.0,0.75,2.3827835525735592,-0.041984566542441835
16.0,65536.0,5709.0,1.0,2.4136714102027077,-0.07287242417159034
17.0,131072.0,10749.0,0.0,2.451310797890533,0.0
17.0,131072.0,10749.0,0.03125,2.451465281420024,-0.00015448352949110498
17.0,131072.0,10749.0,0.0625,2.4517516663694985,-0.00044086847896543374
17.0,131072.0,10749.0,0.125,2.452721578927677,-0.0014107810371438453
17.0,131072.0,10749.0,0.25,2.4562591283984223,-0.004948330507889147
17.0,131072.0,10749.0,0.5,2.4697841283583046,-0.018473330467771613
17.0,131072.0,10749.0,0.75,2.491980020110201,-0.040669222219668046
17.0,131072.0,10749.0,1.0,2.522866720462667,-0.07155592257213385
18.0,262144.0,20390.0,0.0,2.5482424630296974,0.0
18.0,262144.0,20390.0,0.03125,2.5484556976296275,-0.00021323459993008136
18.0,262144.0,20390.0,0.0625,2.548803410714299,-0.0005609476846015497
18.0,262144.0,20390.0,0.125,2.54990364498019,-0.001661181950492792
18.0,262144.0,20390.0,0.25,2.5537319903966065,-0.005489527366909198
18.0,262144.0,20390.0,0.5,2.567954405410525,-0.01971194238082778
18.0,262144.0,20390.0,0.75,2.590991148469019,-0.04274868543932178
18.0,262144.0,20390.0,1.0,2.6228463883658644,-0.0746039253361671
