baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,null_mean,null_sd,null_p05,null_p50,null_p95,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.2110809843046839,639.5753824431922,1.0,3.734550497311372,3.523469513006682,-0.00033003300330033063,4.345552549060614e-18,-0.00033003300330033605,-0.00033003300330032825,-0.00033003300330032635,0.14285714285714285
B0,2.0,2.0,1.0,rank_mod_64,64.0,16.0,65536.0,5709.0,0.22977880552375926,1311.8072007351416,1.0,3.8303731867167756,3.6005943811930257,-0.00017516202487300836,1.0258227618075008e-18,-0.00017516202487301042,-0.000175162024873008,-0.0001751620248730076,0.14285714285714285
B0,2.0,2.0,1.0,rank_mod_64,64.0,17.0,131072.0,10749.0,0.2555065059521235,2746.4394324793752,1.0,3.9248345594662375,3.6693280535141373,-9.3031909945111e-05,9.31516500854819e-19,-9.303190994511216e-05,-9.303190994511105e-05,-9.303190994511006e-05,0.14285714285714285
B0,2.0,2.0,1.0,rank_mod_64,64.0,18.0,262144.0,20390.0,0.25934081820986093,5287.959283299065,1.0,4.00850325326717,3.7491624350573196,-4.904364884747448e-05,8.213314130036289e-19,-4.904364884747597e-05,-4.9043648847474255e-05,-4.904364884747412e-05,0.14285714285714285
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.00033003300330032104,-0.9999999999999727,3.366272352102505e-45,2.2268817153066163,2.2272117483099176,-0.0003300330033003299,2.4328201857906015e-18,-0.0003300330033003336,-0.00033003300330032884,-0.0003300330033003276,0.14285714285714285
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,-0.0001751620248730083,-1.0000000000000044,3.541403594199143e-63,2.3407989860311145,2.340974148055987,-0.00017516202487300757,1.3282859451892606e-18,-0.00017516202487300947,-0.00017516202487300643,-0.00017516202487300643,0.7142857142857143
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,17.0,131072.0,10749.0,-9.303190994511311e-05,-1.0000000000000209,8.617818551826613e-77,2.451310797890532,2.4514038298004777,-9.303190994511105e-05,1.1017073753443412e-18,-9.303190994511258e-05,-9.303190994511058e-05,-9.303190994511051e-05,1.0
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,18.0,262144.0,20390.0,-4.9043648847474764e-05,-1.0000000000000104,4.718578216693928e-100,2.5482424630296867,2.5482915066785345,-4.904364884747399e-05,4.743223162271117e-19,-4.904364884747447e-05,-4.904364884747406e-05,-4.904364884747349e-05,1.0
"B2pair(11,11)",11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.021095946062957463,63.920716570761115,1.0,2.2970653222163238,2.275969376153369,-0.0003300330033003301,1.106780498300992e-18,-0.00033003300330033166,-0.0003300330033003298,-0.00033003300330032906,0.14285714285714285
"B2pair(11,11)",11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,0.036358647904499046,207.57152088678504,1.0,2.4136714102027055,2.377312762298204,-0.00017516202487300665,1.2369233468538515e-18,-0.00017516202487300893,-0.0001751620248730067,-0.00017516202487300567,0.14285714285714285
"B2pair(11,11)",11.0,2310.0,480.0,rank_mod_64,64.0,17.0,131072.0,10749.0,0.047955481546591995,515.4734711443174,1.0,2.5228667204626714,2.4749112389160732,-9.303190994511126e-05,3.133243453562021e-19,-9.303190994511173e-05,-9.303190994511126e-05,-9.303190994511101e-05,0.14285714285714285
"B2pair(11,11)",11.0,2310.0,480.0,rank_mod_64,64.0,18.0,262144.0,20390.0,0.058372711149232426,1190.219580332849,1.0,2.6228463883658657,2.5644736772166215,-4.9043648847474174e-05,2.0823462753009689e-19,-4.9043648847474364e-05,-4.904364884747423e-05,-4.9043648847474025e-05,0.14285714285714285
