baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_min,null_p05,null_p50,null_p95,null_max,empirical_p_ge
B0,2.0,2.0,1.0,gap_mod_210,210.0,15.0,32768.0,3030.0,0.058755465763892144,178.0290612645932,1.0,3.734550497311372,3.67579503154747,3.7345504966258165,3.6757950308619227,-0.00033003300330033015,8.70110240329626e-19,-0.00033003300330033134,-0.00033003300330033134,-0.0003300330033003302,-0.00033003300330032944,-0.0003300330033003284,0.1111111111111111
B0,2.0,2.0,1.0,gap_mod_210,210.0,16.0,65536.0,5709.0,0.12978483374721775,740.9416158628661,1.0,3.8303731867167756,3.700588352969573,3.830373183886064,3.7005883501388532,-0.00017516202487300698,7.785923902395271e-19,-0.00017516202487300792,-0.00017516202487300792,-0.00017516202487300698,-0.0001751620248730059,-0.00017516202487300576,0.1111111111111111
B0,2.0,2.0,1.0,gap_mod_210,210.0,17.0,131072.0,10749.0,0.18860438560506543,2027.3085408688482,1.0,3.9248345594662375,3.7362301738611783,3.924834549674841,3.736230164069759,-9.303190994511134e-05,5.343160101299185e-19,-9.303190994511237e-05,-9.303190994511237e-05,-9.303190994511117e-05,-9.303190994511113e-05,-9.303190994511039e-05,0.1111111111111111
B0,2.0,2.0,1.0,gap_mod_210,210.0,18.0,262144.0,20390.0,0.21642756199506047,4412.957989079283,1.0,4.00850325326717,3.792075691272123,4.008503223916087,3.792075661921024,-4.904364884747429e-05,5.035965273498246e-19,-4.904364884747521e-05,-4.904364884747521e-05,-4.904364884747421e-05,-4.90436488474739e-05,-4.904364884747347e-05,0.1111111111111111
B0,2.0,2.0,1.0,gap_mod_210,210.0,19.0,524288.0,38635.0,0.23688096512205492,9151.896087490592,1.0,4.092900420285504,3.856019455163453,4.092900342358599,3.856019377236565,-2.5883266468228128e-05,1.9904012682065124e-19,-2.588326646822852e-05,-2.588326646822852e-05,-2.5883266468228094e-05,-2.588326646822798e-05,-2.588326646822782e-05,0.1111111111111111
B0,2.0,2.0,1.0,gap_mod_210,210.0,20.0,1048576.0,73586.0,0.24968611587298067,18373.402522629156,1.0,4.169057259959523,3.9193711440865386,4.169057073058491,3.9193709571855377,-1.3589541488870039e-05,1.9448308096811925e-19,-1.3589541488870298e-05,-1.3589541488870298e-05,-1.3589541488869912e-05,-1.35895414888699e-05,-1.3589541488869712e-05,0.1111111111111111
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,15.0,32768.0,3030.0,-0.00033003300330032977,-0.9999999999999991,0.0,2.2268817153066163,2.2272117483099168,2.2268817152961216,2.227211748299422,-0.00033003300330033,3.3636487817048495e-19,-0.00033003300330033047,-0.00033003300330033047,-0.0003300330033003298,-0.00033003300330032966,-0.0003300330033003295,0.4444444444444444
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,16.0,65536.0,5709.0,-0.00017516202487300754,-1.0,0.0,2.3407989860311145,2.3409741480559876,2.3407989859514875,2.3409741479763606,-0.00017516202487300763,1.44701392958126e-19,-0.00017516202487300784,-0.00017516202487300784,-0.00017516202487300757,-0.00017516202487300754,-0.00017516202487300738,0.3333333333333333
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,17.0,131072.0,10749.0,-9.303190994511109e-05,-0.9999999999999991,0.0,2.451310797890532,2.451403829800477,2.4513107974512103,2.4514038293611553,-9.30319099451111e-05,8.951339028203955e-20,-9.303190994511123e-05,-9.303190994511123e-05,-9.30319099451111e-05,-9.303190994511098e-05,-9.303190994511094e-05,0.3333333333333333
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,18.0,262144.0,20390.0,-4.904364884747446e-05,-1.0000000000000042,0.0,2.5482424630296867,2.548291506678534,2.5482424611052097,2.548291504754057,-4.9043648847474296e-05,5.478934915350188e-20,-4.904364884747437e-05,-4.904364884747437e-05,-4.904364884747428e-05,-4.904364884747424e-05,-4.9043648847474194e-05,1.0
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,19.0,524288.0,38635.0,-2.5883266468228318e-05,-1.000000000000001,0.0,2.645104391691567,2.6451302749580354,2.6451043846611326,2.645130267927601,-2.588326646822829e-05,2.7210727439261967e-20,-2.588326646822833e-05,-2.588326646822833e-05,-2.5883266468228284e-05,-2.5883266468228267e-05,-2.5883266468228243e-05,0.8888888888888888
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,20.0,1048576.0,73586.0,-1.358954148887016e-05,-0.9999999999999996,0.0,2.731673799752871,2.73168738929436,2.731673777871918,2.731687367413407,-1.3589541488870168e-05,1.6951243550270573e-20,-1.3589541488870193e-05,-1.3589541488870193e-05,-1.3589541488870166e-05,-1.3589541488870154e-05,-1.3589541488870139e-05,0.4444444444444444
