baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_min,null_p05,null_p50,null_p95,null_max,empirical_p_ge
B0,2.0,2.0,1.0,gap_mod_210,210.0,15.0,32768.0,3030.0,-0.0003300330033003299,-0.9999999999999996,0.0,3.734550497311372,3.7348805303146726,3.7345504966258165,3.734880529629117,-0.00033003300330033,7.654478855467457e-19,-0.0003300330033003309,-0.0003300330033003309,-0.0003300330033003302,-0.00033003300330032884,-0.00033003300330032874,0.4444444444444444
B0,2.0,2.0,1.0,gap_mod_210,210.0,16.0,65536.0,5709.0,-0.00017516202487300784,-1.0000000000000018,0.0,3.8303731867167756,3.8305483487416487,3.830373183886064,3.8305483459109366,-0.0001751620248730074,1.2159570256154856e-19,-0.0001751620248730076,-0.0001751620248730076,-0.00017516202487300738,-0.0001751620248730073,-0.00017516202487300722,1.0
B0,2.0,2.0,1.0,gap_mod_210,210.0,17.0,131072.0,10749.0,-9.303190994511089e-05,-0.9999999999999969,0.0,3.9248345594662375,3.9249275913761825,3.924834549674841,3.924927581584786,-9.303190994511126e-05,1.9339081108041798e-19,-9.303190994511162e-05,-9.303190994511162e-05,-9.303190994511126e-05,-9.303190994511101e-05,-9.303190994511097e-05,0.1111111111111111
B0,2.0,2.0,1.0,gap_mod_210,210.0,18.0,262144.0,20390.0,-4.9043648847474296e-05,-1.0000000000000009,0.0,4.00850325326717,4.008552296916018,4.008503223916087,4.0085522675649345,-4.904364884747428e-05,7.473115889712831e-20,-4.9043648847474404e-05,-4.9043648847474404e-05,-4.9043648847474255e-05,-4.904364884747419e-05,-4.904364884747417e-05,0.6666666666666666
B0,2.0,2.0,1.0,gap_mod_210,210.0,19.0,524288.0,38635.0,-2.5883266468228338e-05,-1.0000000000000018,0.0,4.092900420285504,4.092926303551973,4.092900342358599,4.0929262256250665,-2.5883266468228233e-05,5.722332924501486e-20,-2.5883266468228324e-05,-2.5883266468228324e-05,-2.5883266468228186e-05,-2.5883266468228186e-05,-2.5883266468228175e-05,1.0
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,15.0,32768.0,3030.0,-0.0003300330033003302,-1.0000000000000004,0.0,2.2268817153066163,2.2272117483099168,2.2268817152961216,2.227211748299422,-0.0003300330033003301,3.3799904914147477e-19,-0.0003300330033003305,-0.0003300330033003305,-0.0003300330033003301,-0.0003300330033003298,-0.00033003300330032944,0.5555555555555556
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,16.0,65536.0,5709.0,-0.0001751620248730076,-1.0000000000000004,0.0,2.3407989860311145,2.3409741480559876,2.3407989859514875,2.3409741479763606,-0.00017516202487300754,9.241591390390067e-20,-0.00017516202487300768,-0.00017516202487300768,-0.0001751620248730075,-0.00017516202487300746,-0.0001751620248730074,0.7777777777777778
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,17.0,131072.0,10749.0,-9.303190994511103e-05,-0.9999999999999984,0.0,2.451310797890532,2.451403829800477,2.4513107974512103,2.4514038293611553,-9.303190994511119e-05,7.074626873984607e-20,-9.30319099451113e-05,-9.30319099451113e-05,-9.303190994511119e-05,-9.30319099451111e-05,-9.303190994511109e-05,0.1111111111111111
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,18.0,262144.0,20390.0,-4.9043648847474425e-05,-1.0000000000000036,0.0,2.5482424630296867,2.548291506678534,2.5482424611052097,2.548291504754057,-4.904364884747425e-05,7.329649735998635e-20,-4.904364884747435e-05,-4.904364884747435e-05,-4.904364884747423e-05,-4.904364884747417e-05,-4.9043648847474154e-05,1.0
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,19.0,524288.0,38635.0,-2.588326646822828e-05,-0.9999999999999996,0.0,2.645104391691567,2.6451302749580354,2.6451043846611326,2.645130267927601,-2.5883266468228294e-05,5.419687211849269e-20,-2.5883266468228413e-05,-2.5883266468228413e-05,-2.588326646822828e-05,-2.5883266468228243e-05,-2.5883266468228226e-05,0.5555555555555556
