baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_min,null_p05,null_p50,null_p95,null_max,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.2110809843046839,639.5753824431922,1.0,3.734550497311372,3.523469513006682,3.734547564054311,3.5234665797496167,-0.0003300330033003303,3.12053620765415e-18,-0.00033003300330033605,-0.00033003300330033605,-0.0003300330033003302,-0.0003300330033003267,-0.0003300330033003253,0.07692307692307693
B0,2.0,2.0,1.0,rank_mod_64,64.0,16.0,65536.0,5709.0,0.22977880552375926,1311.8072007351416,1.0,3.8303731867167756,3.6005943811930257,3.830366191344059,3.6005873858203157,-0.00017516202487300735,1.6924207223688915e-18,-0.00017516202487301017,-0.00017516202487301017,-0.00017516202487300684,-0.0001751620248730055,-0.0001751620248730048,0.07692307692307693
B0,2.0,2.0,1.0,rank_mod_64,64.0,17.0,131072.0,10749.0,0.2555065059521235,2746.4394324793752,1.0,3.9248345594662375,3.6693280535141373,3.9248196011250474,3.669313095172921,-9.303190994511052e-05,1.13485051535594e-18,-9.303190994511176e-05,-9.303190994511176e-05,-9.303190994511105e-05,-9.30319099451091e-05,-9.303190994510829e-05,0.07692307692307693
B0,2.0,2.0,1.0,rank_mod_64,64.0,18.0,262144.0,20390.0,0.25934081820986093,5287.959283299065,1.0,4.00850325326717,3.7491624350573196,4.008473969674203,3.749133151464353,-4.904364884747382e-05,1.0119459762179602e-18,-4.904364884747532e-05,-4.904364884747532e-05,-4.904364884747414e-05,-4.904364884747216e-05,-4.904364884747203e-05,0.07692307692307693
B0,2.0,2.0,1.0,rank_mod_64,64.0,19.0,524288.0,38635.0,0.26464280769807985,10224.474875415315,1.0,4.092900420285504,3.828257612587423,4.092847211268132,3.828204403570044,-2.5883266468228338e-05,4.164508788493145e-19,-2.5883266468229094e-05,-2.5883266468229094e-05,-2.5883266468228186e-05,-2.5883266468227992e-05,-2.588326646822753e-05,0.07692307692307693
B0,2.0,2.0,1.0,rank_mod_64,64.0,20.0,1048576.0,73586.0,0.26717179552634424,19660.103745601566,1.0,4.169057259959523,3.901885464433196,4.168399168695683,3.9012273731693647,-1.3589541488870053e-05,3.542144196337529e-19,-1.3589541488870557e-05,-1.3589541488870557e-05,-1.3589541488869893e-05,-1.3589541488869592e-05,-1.3589541488869568e-05,0.07692307692307693
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.00033003300330032104,-0.9999999999999727,3.366272352102505e-45,2.2268817153066163,2.2272117483099176,2.2268817153066163,2.227211748309918,-0.0003300330033003289,2.0329995367491963e-18,-0.00033003300330033215,-0.00033003300330033215,-0.0003300330033003282,-0.00033003300330032706,-0.00033003300330032527,0.07692307692307693
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,-0.0001751620248730083,-1.0000000000000044,3.541403594199143e-63,2.3407989860311145,2.340974148055987,2.3407989860311136,2.340974148055986,-0.00017516202487300684,1.9091914692284733e-18,-0.00017516202487301026,-0.00017516202487301026,-0.00017516202487300706,-0.00017516202487300443,-0.00017516202487300424,0.7692307692307693
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,17.0,131072.0,10749.0,-9.303190994511311e-05,-1.0000000000000209,8.617818551826613e-77,2.451310797890532,2.4514038298004777,2.451310797890512,2.4514038298004577,-9.30319099451118e-05,8.787832458055709e-19,-9.303190994511398e-05,-9.303190994511398e-05,-9.303190994511165e-05,-9.303190994511066e-05,-9.303190994511051e-05,0.9230769230769231
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,18.0,262144.0,20390.0,-4.9043648847474764e-05,-1.0000000000000104,4.718578216693928e-100,2.5482424630296867,2.5482915066785345,2.548242463029539,2.548291506678387,-4.904364884747379e-05,8.662161635076128e-19,-4.904364884747512e-05,-4.904364884747512e-05,-4.9043648847473794e-05,-4.9043648847472304e-05,-4.90436488474722e-05,0.8461538461538461
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,19.0,524288.0,38635.0,-2.58832664682283e-05,-1.0000000000000004,8.48089981154609e-160,2.645104391691567,2.645130274958035,2.6451043916905443,2.645130274957013,-2.588326646822808e-05,3.820973041993642e-19,-2.5883266468228694e-05,-2.5883266468228694e-05,-2.5883266468227945e-05,-2.588326646822768e-05,-2.5883266468227366e-05,0.6153846153846154
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,20.0,1048576.0,73586.0,-1.3589541488870305e-05,-1.0000000000000102,8.638812035658374e-216,2.731673799752871,2.73168738929436,2.7316737997473584,2.731687389288847,-1.3589541488869985e-05,2.6963867371832933e-19,-1.358954148887054e-05,-1.358954148887054e-05,-1.3589541488869888e-05,-1.3589541488869715e-05,-1.3589541488869607e-05,0.8461538461538461
