baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_min,null_p05,null_p50,null_p95,null_max,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.2110809843046839,639.5753824431922,1.0,3.734550497311372,3.523469513006682,3.734547564054311,3.5234665797496167,-0.00032755038757054794,6.275073311580968e-06,-0.0003388681802778734,-0.0003388681802778734,-0.0003264773098269664,-0.00031877590054191777,-0.00031725888324872704,0.07692307692307693
B0,2.0,2.0,1.0,rank_mod_64,64.0,16.0,65536.0,5709.0,0.22977880552375926,1311.8072007351416,1.0,3.8303731867167756,3.6005943811930257,3.830366191344059,3.6005873858203157,-0.00017583592000982562,1.4347516704125222e-06,-0.000178189593727729,-0.000178189593727729,-0.00017577781683951235,-0.00017376194613379447,-0.00017295053614666076,0.07692307692307693
B0,2.0,2.0,1.0,rank_mod_64,64.0,17.0,131072.0,10749.0,0.2555065059521235,2746.4394324793752,1.0,3.9248345594662375,3.6693280535141373,3.9248196011250474,3.669313095172921,-9.279474121835702e-05,6.48186969650142e-07,-9.369436896842408e-05,-9.369436896842408e-05,-9.279881217520239e-05,-9.188642837452888e-05,-9.166743056192021e-05,0.07692307692307693
B0,2.0,2.0,1.0,rank_mod_64,64.0,18.0,262144.0,20390.0,0.25934081820986093,5287.959283299065,1.0,4.00850325326717,3.7491624350573196,4.008473969674203,3.749133151464353,-4.8904598234035556e-05,3.594255991716933e-07,-4.9397352301916686e-05,-4.9397352301916686e-05,-4.8930860693840954e-05,-4.839334107626934e-05,-4.820903437304226e-05,0.07692307692307693
B0,2.0,2.0,1.0,rank_mod_64,64.0,19.0,524288.0,38635.0,0.26464280769807985,10224.474875415315,1.0,4.092900420285504,3.828257612587423,4.092847211268132,3.828204403570044,-2.57996548519055e-05,1.1668834598186262e-07,-2.601253804333734e-05,-2.601253804333734e-05,-2.5745990062047687e-05,-2.5643655759564798e-05,-2.5641025641025287e-05,0.07692307692307693
B0,2.0,2.0,1.0,rank_mod_64,64.0,20.0,1048576.0,73586.0,0.26717179552634424,19660.103745601566,1.0,4.169057259959523,3.901885464433196,4.168399168695683,3.9012273731693647,-1.3601761870489108e-05,5.673903998889135e-08,-1.3691128148960119e-05,-1.3691128148960119e-05,-1.3586956521739607e-05,-1.3522650439486031e-05,-1.350530083057542e-05,0.07692307692307693
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.00033003300330032104,-0.9999999999999727,3.366272352102505e-45,2.2268817153066163,2.2272117483099176,2.2268817153066163,2.227211748309918,-0.00032754678590934814,4.538995510755966e-06,-0.00033500837520937597,-0.00033500837520937597,-0.0003250975292587807,-0.0003242542153047952,-0.00031969309462915766,0.6923076923076923
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,-0.0001751620248730083,-1.0000000000000044,3.541403594199143e-63,2.3407989860311145,2.340974148055987,2.3407989860311136,2.340974148055986,-0.00017562304009404332,1.31300106154205e-06,-0.00017743080198722328,-0.00017743080198722328,-0.00017546938059308603,-0.00017391304347825828,-0.00017283097131005768,0.38461538461538464
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,17.0,131072.0,10749.0,-9.303190994511311e-05,-1.0000000000000209,8.617818551826613e-77,2.451310797890532,2.4514038298004777,2.451310797890512,2.4514038298004577,-9.280866697326726e-05,5.607041126319263e-07,-9.358038555118872e-05,-9.358038555118872e-05,-9.274717121127497e-05,-9.196247930844126e-05,-9.180207472688986e-05,0.6153846153846154
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,18.0,262144.0,20390.0,-4.9043648847474764e-05,-1.0000000000000104,4.718578216693928e-100,2.5482424630296867,2.5482915066785345,2.548242463029539,2.548291506678387,-4.891314670713722e-05,3.2959260553275884e-07,-4.9343728412118896e-05,-4.9343728412118896e-05,-4.8942834768989617e-05,-4.844491812808837e-05,-4.8250904704463174e-05,0.6923076923076923
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,19.0,524288.0,38635.0,-2.58832664682283e-05,-1.0000000000000004,8.48089981154609e-160,2.645104391691567,2.645130274958035,2.6451043916905443,2.645130274957013,-2.5805621430594945e-05,1.0741333842199231e-07,-2.6012538043336848e-05,-2.6012538043336848e-05,-2.576124478334788e-05,-2.568317238545256e-05,-2.5648917615676947e-05,0.7692307692307693
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,20.0,1048576.0,73586.0,-1.3589541488870305e-05,-1.0000000000000102,8.638812035658374e-216,2.731673799752871,2.73168738929436,2.7316737997473584,2.731687389288847,-1.3597691219624212e-05,4.8527689555851905e-08,-1.3676522880822732e-05,-1.3676522880822732e-05,-1.3584741618214695e-05,-1.3531067330591059e-05,-1.3513878753479596e-05,0.5384615384615384
