baseline,y,W,phi_W,exp,X,n,R_bits_per_gap,B1_exact_bits_per_gap,U1_exact_bits_per_gap,B1_bucket_bits_per_gap,U1_bucket_bits_per_gap,null_mean,null_sd,null_p05,null_p95,z_vs_null
B0,2.0,2.0,1.0,15,32768.0,3030.0,-0.00033003300330032966,3.734550497311372,3.734880530314673,2.3917143893054424,2.392044422308743,-0.00033003300330032977,9.998299793023747e-19,-0.0003300330033003315,-0.000330033003300329,0.10843865406416398
B0,2.0,2.0,1.0,16,65536.0,5709.0,-0.00017516202487300622,3.8303731867167756,3.8305483487416487,2.432039184022842,2.4322143460477146,-0.00017516202487300768,6.082176291759513e-19,-0.00017516202487300876,-0.00017516202487300703,2.4064954099382163
B0,2.0,2.0,1.0,17,131072.0,10749.0,-9.303190994511067e-05,3.9248345594662375,3.9249275913761825,2.348886925895911,2.3489799578058563,-9.303190994511112e-05,6.546687395907462e-19,-9.303190994511201e-05,-9.303190994511046e-05,0.683144572367775
B0,2.0,2.0,1.0,18,262144.0,20390.0,-4.9043648847474425e-05,4.00850325326717,4.008552296916018,2.357322982901555,2.3573720265504026,-4.904364884747409e-05,2.8751247969298973e-19,-4.904364884747451e-05,-4.90436488474737e-05,-1.1548608800502846
B0,2.0,2.0,1.0,19,524288.0,38635.0,-2.5883266468228033e-05,4.092900420285504,4.092926303551973,2.387302709246699,2.3873285925131675,-2.588326646822832e-05,2.004270799009183e-19,-2.5883266468228768e-05,-2.588326646822815e-05,1.4368876810899573
B0,2.0,2.0,1.0,20,1048576.0,73586.0,-1.3589541488869746e-05,4.169057259959523,4.169070849501011,2.38628355571708,2.3862971452585695,-1.3589541488870093e-05,1.2168679703381838e-19,-1.3589541488870332e-05,-1.3589541488869927e-05,2.8539128059862438
B0,2.0,2.0,1.0,21,2097152.0,140336.0,-7.125755330064909e-06,4.242863702337939,4.242870828093269,2.3969563669858265,2.3969634927411567,-7.125755330064944e-06,8.623793350175866e-20,-7.125755330065091e-06,-7.125755330064838e-06,0.40270388479007435
B1(11),11.0,2310.0,480.0,15,32768.0,3030.0,-0.0003300330033003296,2.2268817153066163,2.2272117483099168,1.8678291177078878,1.868159150711188,-0.00033003300330033025,6.193272605173106e-19,-0.00033003300330033123,-0.0003300330033003295,1.0503676246189073
B1(11),11.0,2310.0,480.0,16,65536.0,5709.0,-0.00017516202487300787,2.3407989860311145,2.3409741480559876,1.9555517916005583,1.9557269536254314,-0.00017516202487300746,2.7803791086287764e-19,-0.00017516202487300803,-0.0001751620248730072,-1.4623035161653861
B1(11),11.0,2310.0,480.0,17,131072.0,10749.0,-9.303190994511115e-05,2.451310797890532,2.451403829800477,1.9931885012505661,1.9932815331605107,-9.303190994511112e-05,2.01887044866974e-19,-9.303190994511146e-05,-9.303190994511085e-05,-0.13425851237754005
B1(11),11.0,2310.0,480.0,18,262144.0,20390.0,-4.904364884747404e-05,2.5482424630296867,2.548291506678534,2.0531412248209437,2.053190268469791,-4.9043648847474174e-05,1.2931616247986642e-19,-4.904364884747437e-05,-4.904364884747401e-05,1.0480149500398943
B1(11),11.0,2310.0,480.0,19,524288.0,38635.0,-2.588326646822828e-05,2.645104391691567,2.6451302749580354,2.0899119379634015,2.0899378212298703,-2.5883266468228243e-05,6.915764516651908e-20,-2.5883266468228338e-05,-2.588326646822816e-05,-0.5389057072352758
B1(11),11.0,2310.0,480.0,20,1048576.0,73586.0,-1.3589541488870198e-05,2.731673799752871,2.73168738929436,2.119798527730704,2.1198121172721924,-1.358954148887017e-05,3.808823772991824e-20,-1.3589541488870232e-05,-1.3589541488870115e-05,-0.7561158489625933
B1(11),11.0,2310.0,480.0,21,2097152.0,140336.0,-7.1257553300649776e-06,2.81495327850538,2.8149604042607104,2.15348875070376,2.15349587645909,-7.125755330064984e-06,1.5953546949744603e-20,-7.125755330065012e-06,-7.125755330064959e-06,0.42474965594675373
