baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_p05,null_p95,z_vs_null
B0,2.0,2.0,1.0,gap_mod_210,210.0,15.0,32768.0,3030.0,0.04803373556942525,3.734550497311372,3.686516761741941,3.7345504966258165,3.68651676105639,-0.00033003300330032944,3.1851226093997048e-18,-0.0003300330033003381,-0.0003300330033003267,1.5184272162709814e+16
B0,2.0,2.0,1.0,gap_mod_210,210.0,16.0,65536.0,5709.0,0.055518200278142055,3.8303731867167756,3.7748549864386436,3.830373183886064,3.774854983607915,-0.00017516202487300698,3.0922539202494765e-18,-0.0001751620248730129,-0.00017516202487300294,1.8010604477953686e+16
B0,2.0,2.0,1.0,gap_mod_210,210.0,17.0,131072.0,10749.0,0.06828679601792088,3.9248345594662375,3.8565477634483183,3.924834549674841,3.856547753656899,-9.30319099451111e-05,1.13099337493754e-18,-9.303190994511262e-05,-9.303190994510968e-05,6.045997212993606e+16
B0,2.0,2.0,1.0,gap_mod_210,210.0,18.0,262144.0,20390.0,0.07253470275218829,4.00850325326717,3.935968550514961,4.008503223916087,3.935968521163889,-4.9043648847474384e-05,9.710510229628552e-19,-4.904364884747619e-05,-4.904364884747342e-05,7.47476133432921e+16
B0,2.0,2.0,1.0,gap_mod_210,210.0,19.0,524288.0,38635.0,0.07667806589996297,4.092900420285504,4.016222354385555,4.092900342358599,4.016222276458623,-2.5883266468227962e-05,5.41935183571119e-19,-2.58832664682292e-05,-2.5883266468227372e-05,1.4153712748632643e+17
B0,2.0,2.0,1.0,gap_mod_210,210.0,20.0,1048576.0,73586.0,0.07574049574903975,4.169057259959523,4.093316764210497,4.169057073058491,4.0933165773094435,-1.3589541488869986e-05,3.5876920154658727e-19,-1.3589541488870515e-05,-1.3589541488869387e-05,2.1114991187640093e+17
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,15.0,32768.0,3030.0,-0.0003300330033003298,2.2268817153066163,2.2272117483099168,2.2268817152961216,2.227211748299422,-0.00033003300330033004,4.101739008779568e-19,-0.00033003300330033074,-0.0003300330033003295,0.5286548803640718
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,16.0,65536.0,5709.0,-0.00017516202487300765,2.3407989860311145,2.3409741480559876,2.3407989859514875,2.3409741479763606,-0.00017516202487300757,1.6338150920444694e-19,-0.00017516202487300776,-0.00017516202487300733,-0.49770113724839793
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,17.0,131072.0,10749.0,-9.303190994511117e-05,2.451310797890532,2.451403829800477,2.4513107974512103,2.4514038293611553,-9.303190994511115e-05,1.2190998507738505e-19,-9.303190994511132e-05,-9.303190994511093e-05,-0.22233662234419993
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,18.0,262144.0,20390.0,-4.904364884747435e-05,2.5482424630296867,2.548291506678534,2.5482424611052097,2.548291504754057,-4.904364884747426e-05,5.713131009013596e-20,-4.9043648847474337e-05,-4.904364884747419e-05,-1.5419115433457689
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,19.0,524288.0,38635.0,-2.5883266468228233e-05,2.645104391691567,2.6451302749580354,2.6451043846611326,2.645130267927601,-2.588326646822827e-05,3.3095764315609547e-20,-2.5883266468228318e-05,-2.5883266468228223e-05,1.1261093511477285
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,20.0,1048576.0,73586.0,-1.3589541488870163e-05,2.731673799752871,2.73168738929436,2.731673777871918,2.731687367413407,-1.3589541488870164e-05,1.8107496234338362e-20,-1.3589541488870195e-05,-1.3589541488870136e-05,0.0935560539449976
